Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25978135607988706
75% Corpus,2,0.01,0.31,0.2668476722607104
75% Corpus,2,0.01,0.61,0.2776409400108895
75% Corpus,2,0.01,0.9099999999999999,0.2716233211418745
75% Corpus,2,0.01,symmetric,0.27332996032921053
75% Corpus,2,0.31,0.01,0.25978135607988706
75% Corpus,2,0.31,0.31,0.2668476722607104
75% Corpus,2,0.31,0.61,0.2776409400108895
75% Corpus,2,0.31,0.9099999999999999,0.2716233211418745
75% Corpus,2,0.31,symmetric,0.27332996032921053
75% Corpus,2,0.61,0.01,0.25978135607988706
75% Corpus,2,0.61,0.31,0.2668476722607104
75% Corpus,2,0.61,0.61,0.2776409400108895
75% Corpus,2,0.61,0.9099999999999999,0.2716233211418745
75% Corpus,2,0.61,symmetric,0.27332996032921053
75% Corpus,2,0.9099999999999999,0.01,0.25978135607988706
75% Corpus,2,0.9099999999999999,0.31,0.2668476722607104
75% Corpus,2,0.9099999999999999,0.61,0.27764094001088946
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2766757371950356
75% Corpus,2,0.9099999999999999,symmetric,0.27332996032921053
75% Corpus,2,symmetric,0.01,0.25978135607988706
75% Corpus,2,symmetric,0.31,0.2668476722607104
75% Corpus,2,symmetric,0.61,0.2776409400108895
75% Corpus,2,symmetric,0.9099999999999999,0.2716233211418745
75% Corpus,2,symmetric,symmetric,0.27332996032921053
75% Corpus,2,asymmetric,0.01,0.25978135607988706
75% Corpus,2,asymmetric,0.31,0.2668476722607104
75% Corpus,2,asymmetric,0.61,0.27764094001088957
75% Corpus,2,asymmetric,0.9099999999999999,0.27162332114187443
75% Corpus,2,asymmetric,symmetric,0.27332996032921053
75% Corpus,3,0.01,0.01,0.27839627006352724
75% Corpus,3,0.01,0.31,0.2714832672445246
75% Corpus,3,0.01,0.61,0.27129619317484943
75% Corpus,3,0.01,0.9099999999999999,0.26967265698428594
75% Corpus,3,0.01,symmetric,0.2710418286483521
75% Corpus,3,0.31,0.01,0.27839627006352724
75% Corpus,3,0.31,0.31,0.2714832672445246
75% Corpus,3,0.31,0.61,0.27129619317484943
75% Corpus,3,0.31,0.9099999999999999,0.26967265698428594
75% Corpus,3,0.31,symmetric,0.2741049024792329
75% Corpus,3,0.61,0.01,0.27839627006352724
75% Corpus,3,0.61,0.31,0.27351453271228904
75% Corpus,3,0.61,0.61,0.2730873971333492
75% Corpus,3,0.61,0.9099999999999999,0.26967265698428594
75% Corpus,3,0.61,symmetric,0.27410490247923297
75% Corpus,3,0.9099999999999999,0.01,0.27839627006352724
75% Corpus,3,0.9099999999999999,0.31,0.27351453271228904
75% Corpus,3,0.9099999999999999,0.61,0.2766291342273802
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.26645454631910853
75% Corpus,3,0.9099999999999999,symmetric,0.2714832672445246
75% Corpus,3,symmetric,0.01,0.27839627006352724
75% Corpus,3,symmetric,0.31,0.2714832672445246
